source,source_name,target,target_name,source_affiliation,target_affiliation,publications_xid,publications_title,publications_abtract
ur.012303706555.15,"Kale, Rahul W.",ur.010747712675.93,"Zhang, Justin Zuopeng",UNF,UNF,['pub.1143170828'],['Agility and Resilience in Information Systems Research'],"['<p>This research analyzes how the concepts of agility and resilience are treated in IS literature. While agility has been an object of study in IS research for many decades, resilience is a fairly new topic. Both are gaining strategic importance in a firm’s sustainability and growth, especially given the remarkable changes in the landscape that the firm operates in. It is thus important to understand what agility and resilience mean in IS research. Our paper is a first attempt to study IS literature and provide a thematic analysis of facets of each concept. In doing so, we identify aspects that are common to both agility and resilience and those that are unique to each. The results of this study can be used for an empirical examination of the two constructs and a validation of how they can be measured in firms. IS researchers and industrial practitioners can benefit from a deeper understanding of agility and resilience.</p>']"
ur.012303706555.15,"Kale, Rahul W.",ur.011416214620.82,"Goel, Lakshmi",UNF,UNF,['pub.1143170828'],['Agility and Resilience in Information Systems Research'],"['<p>This research analyzes how the concepts of agility and resilience are treated in IS literature. While agility has been an object of study in IS research for many decades, resilience is a fairly new topic. Both are gaining strategic importance in a firm’s sustainability and growth, especially given the remarkable changes in the landscape that the firm operates in. It is thus important to understand what agility and resilience mean in IS research. Our paper is a first attempt to study IS literature and provide a thematic analysis of facets of each concept. In doing so, we identify aspects that are common to both agility and resilience and those that are unique to each. The results of this study can be used for an empirical examination of the two constructs and a validation of how they can be measured in firms. IS researchers and industrial practitioners can benefit from a deeper understanding of agility and resilience.</p>']"
ur.010747712675.93,"Zhang, Justin Zuopeng",ur.012303706555.15,"Kale, Rahul W.",UNF,UNF,['pub.1143170828'],['Agility and Resilience in Information Systems Research'],"['<p>This research analyzes how the concepts of agility and resilience are treated in IS literature. While agility has been an object of study in IS research for many decades, resilience is a fairly new topic. Both are gaining strategic importance in a firm’s sustainability and growth, especially given the remarkable changes in the landscape that the firm operates in. It is thus important to understand what agility and resilience mean in IS research. Our paper is a first attempt to study IS literature and provide a thematic analysis of facets of each concept. In doing so, we identify aspects that are common to both agility and resilience and those that are unique to each. The results of this study can be used for an empirical examination of the two constructs and a validation of how they can be measured in firms. IS researchers and industrial practitioners can benefit from a deeper understanding of agility and resilience.</p>']"
ur.010747712675.93,"Zhang, Justin Zuopeng",ur.011416214620.82,"Goel, Lakshmi",UNF,UNF,"['pub.1143170828', 'pub.1146347117', 'pub.1147029387', 'pub.1151635872']","['Agility and Resilience in Information Systems Research', 'IT assimilation: construct, measurement, and implications in cybersecurity', 'Knowledge acquisition model of mobile payment based on automatic summary technology', 'Work-to-Home Cybersecurity Spillover: Construct Development and Validation']","['<p>This research analyzes how the concepts of agility and resilience are treated in IS literature. While agility has been an object of study in IS research for many decades, resilience is a fairly new topic. Both are gaining strategic importance in a firm’s sustainability and growth, especially given the remarkable changes in the landscape that the firm operates in. It is thus important to understand what agility and resilience mean in IS research. Our paper is a first attempt to study IS literature and provide a thematic analysis of facets of each concept. In doing so, we identify aspects that are common to both agility and resilience and those that are unique to each. The results of this study can be used for an empirical examination of the two constructs and a validation of how they can be measured in firms. IS researchers and industrial practitioners can benefit from a deeper understanding of agility and resilience.</p>', 'Unintentional employee behaviours can be a major cause of security breaches. To mitigate the risk, employees need to habituate their new behaviours, implying a transfer of learning that may occur at ‘work’ to ‘personal’ contexts. Against this backdrop, we examine a new construct – IT Assimilation – grounded in situated learning theory by its definition as the incorporation of enterprise IT into an individual’s IT repertoire. We use a multi-phase methodological approach to conceptualise the construct and develop a validated scale to measure it. Our findings offer valuable insights for researchers and practitioners about transferring IT behaviours, particularly in the cybersecurity context..', 'The risks in mobile payment under Fintech have become an urgent problem to be addressed. This paper develops a research framework of knowledge acquisition and explores how automatic summarization technology helps extract knowledge of mobile payment to help managers and users reduce the financial risks. Specifically, we construct the mobile payment domain thesaurus and propose an automatic summary extraction model that integrates Bi-directional Long Short-Term Memory (BiLSTM), Attention Mechanism, and Reinforcement Learning (RL). The model is then used to extract the summary of mobile payment policy documents for knowledge acquisition. Our proposed model performs better than other basic models in Rouge-2, Rouge-4, and Rouge-SU4 indexes. Our study enriches relevant research in the existing literature, facilitates knowledge acquisition in mobile payment, and helps mobile users and managers reduce financial risks in their operations.', 'The COVID-19 pandemic has forced employees to work from home using enterprise systems outside traditional organizational boundaries. Thus, organizations cannot enforce security policies for safe IT use behaviors but depend on continuance intentions of work policies at home. We study the transfer of IT security behaviors from work to home by developing the construct of Work-to-Home Cybersecurity Spillover and empirically testing and validating it. Our findings provide practical implications for researchers and practitioners in cybersecurity.']"
ur.010747712675.93,"Zhang, Justin Zuopeng",ur.016646474730.58,"Williamson, Steven",UNF,UNF,"['pub.1146347117', 'pub.1151635872']","['IT assimilation: construct, measurement, and implications in cybersecurity', 'Work-to-Home Cybersecurity Spillover: Construct Development and Validation']","['Unintentional employee behaviours can be a major cause of security breaches. To mitigate the risk, employees need to habituate their new behaviours, implying a transfer of learning that may occur at ‘work’ to ‘personal’ contexts. Against this backdrop, we examine a new construct – IT Assimilation – grounded in situated learning theory by its definition as the incorporation of enterprise IT into an individual’s IT repertoire. We use a multi-phase methodological approach to conceptualise the construct and develop a validated scale to measure it. Our findings offer valuable insights for researchers and practitioners about transferring IT behaviours, particularly in the cybersecurity context..', 'The COVID-19 pandemic has forced employees to work from home using enterprise systems outside traditional organizational boundaries. Thus, organizations cannot enforce security policies for safe IT use behaviors but depend on continuance intentions of work policies at home. We study the transfer of IT security behaviors from work to home by developing the construct of Work-to-Home Cybersecurity Spillover and empirically testing and validating it. Our findings provide practical implications for researchers and practitioners in cybersecurity.']"
ur.011416214620.82,"Goel, Lakshmi",ur.012303706555.15,"Kale, Rahul W.",UNF,UNF,['pub.1143170828'],['Agility and Resilience in Information Systems Research'],"['<p>This research analyzes how the concepts of agility and resilience are treated in IS literature. While agility has been an object of study in IS research for many decades, resilience is a fairly new topic. Both are gaining strategic importance in a firm’s sustainability and growth, especially given the remarkable changes in the landscape that the firm operates in. It is thus important to understand what agility and resilience mean in IS research. Our paper is a first attempt to study IS literature and provide a thematic analysis of facets of each concept. In doing so, we identify aspects that are common to both agility and resilience and those that are unique to each. The results of this study can be used for an empirical examination of the two constructs and a validation of how they can be measured in firms. IS researchers and industrial practitioners can benefit from a deeper understanding of agility and resilience.</p>']"
ur.011416214620.82,"Goel, Lakshmi",ur.010747712675.93,"Zhang, Justin Zuopeng",UNF,UNF,"['pub.1143170828', 'pub.1146347117', 'pub.1147029387', 'pub.1151635872']","['Agility and Resilience in Information Systems Research', 'IT assimilation: construct, measurement, and implications in cybersecurity', 'Knowledge acquisition model of mobile payment based on automatic summary technology', 'Work-to-Home Cybersecurity Spillover: Construct Development and Validation']","['<p>This research analyzes how the concepts of agility and resilience are treated in IS literature. While agility has been an object of study in IS research for many decades, resilience is a fairly new topic. Both are gaining strategic importance in a firm’s sustainability and growth, especially given the remarkable changes in the landscape that the firm operates in. It is thus important to understand what agility and resilience mean in IS research. Our paper is a first attempt to study IS literature and provide a thematic analysis of facets of each concept. In doing so, we identify aspects that are common to both agility and resilience and those that are unique to each. The results of this study can be used for an empirical examination of the two constructs and a validation of how they can be measured in firms. IS researchers and industrial practitioners can benefit from a deeper understanding of agility and resilience.</p>', 'Unintentional employee behaviours can be a major cause of security breaches. To mitigate the risk, employees need to habituate their new behaviours, implying a transfer of learning that may occur at ‘work’ to ‘personal’ contexts. Against this backdrop, we examine a new construct – IT Assimilation – grounded in situated learning theory by its definition as the incorporation of enterprise IT into an individual’s IT repertoire. We use a multi-phase methodological approach to conceptualise the construct and develop a validated scale to measure it. Our findings offer valuable insights for researchers and practitioners about transferring IT behaviours, particularly in the cybersecurity context..', 'The risks in mobile payment under Fintech have become an urgent problem to be addressed. This paper develops a research framework of knowledge acquisition and explores how automatic summarization technology helps extract knowledge of mobile payment to help managers and users reduce the financial risks. Specifically, we construct the mobile payment domain thesaurus and propose an automatic summary extraction model that integrates Bi-directional Long Short-Term Memory (BiLSTM), Attention Mechanism, and Reinforcement Learning (RL). The model is then used to extract the summary of mobile payment policy documents for knowledge acquisition. Our proposed model performs better than other basic models in Rouge-2, Rouge-4, and Rouge-SU4 indexes. Our study enriches relevant research in the existing literature, facilitates knowledge acquisition in mobile payment, and helps mobile users and managers reduce financial risks in their operations.', 'The COVID-19 pandemic has forced employees to work from home using enterprise systems outside traditional organizational boundaries. Thus, organizations cannot enforce security policies for safe IT use behaviors but depend on continuance intentions of work policies at home. We study the transfer of IT security behaviors from work to home by developing the construct of Work-to-Home Cybersecurity Spillover and empirically testing and validating it. Our findings provide practical implications for researchers and practitioners in cybersecurity.']"
ur.011416214620.82,"Goel, Lakshmi",ur.016646474730.58,"Williamson, Steven",UNF,UNF,"['pub.1146347117', 'pub.1151635872']","['IT assimilation: construct, measurement, and implications in cybersecurity', 'Work-to-Home Cybersecurity Spillover: Construct Development and Validation']","['Unintentional employee behaviours can be a major cause of security breaches. To mitigate the risk, employees need to habituate their new behaviours, implying a transfer of learning that may occur at ‘work’ to ‘personal’ contexts. Against this backdrop, we examine a new construct – IT Assimilation – grounded in situated learning theory by its definition as the incorporation of enterprise IT into an individual’s IT repertoire. We use a multi-phase methodological approach to conceptualise the construct and develop a validated scale to measure it. Our findings offer valuable insights for researchers and practitioners about transferring IT behaviours, particularly in the cybersecurity context..', 'The COVID-19 pandemic has forced employees to work from home using enterprise systems outside traditional organizational boundaries. Thus, organizations cannot enforce security policies for safe IT use behaviors but depend on continuance intentions of work policies at home. We study the transfer of IT security behaviors from work to home by developing the construct of Work-to-Home Cybersecurity Spillover and empirically testing and validating it. Our findings provide practical implications for researchers and practitioners in cybersecurity.']"
ur.015114235656.26,"Franco, Jose A.",ur.013761230703.59,"Dumitru, Raluca",UNF,UNF,['pub.1143463753'],['Geodesic in-betweenness for means of several matrices'],"['A matrix mean σ is said to satisfy the in-betweenness property with respect to the metric d if for any pair of positive definite matrices A and B, d ( A , A σ B ) ≤ d ( A , B ) . In this article, we introduce the geodesic in-betweenness property for k-tuples of positive definite matrices with respect to any metric. Moreover, we show that in spaces of non-positive curvature, geodesic in-betweenness implies in-betweenness in the case of two matrices. We then show some examples of metrics and means for which this property is satisfied.']"
ur.013761230703.59,"Dumitru, Raluca",ur.015114235656.26,"Franco, Jose A.",UNF,UNF,['pub.1143463753'],['Geodesic in-betweenness for means of several matrices'],"['A matrix mean σ is said to satisfy the in-betweenness property with respect to the metric d if for any pair of positive definite matrices A and B, d ( A , A σ B ) ≤ d ( A , B ) . In this article, we introduce the geodesic in-betweenness property for k-tuples of positive definite matrices with respect to any metric. Moreover, we show that in spaces of non-positive curvature, geodesic in-betweenness implies in-betweenness in the case of two matrices. We then show some examples of metrics and means for which this property is satisfied.']"
