xid,researcher_id,affiliations,full_name,Area,title,abstract
pub.1134662409,ur.01260251732.01,UNF,"Boling, Michelle C.",Biomedical and Clinical Sciences,In Vivo Compositional Changes in the Articular Cartilage of the Patellofemoral Joint Following Anterior Cruciate Ligament Reconstruction,"OBJECTIVE: To compare T1ρ relaxation times of the medial and lateral regions of the patella and femoral trochlea at 6 and 12 months following anterior cruciate ligament reconstruction (ACLR) on the ACLR and contralateral extremity. Greater T1ρ relaxation times are associated with a lower proteoglycan density of articular cartilage.
METHODS: This study involved 20 individuals (11 males, 9 females; mean ± SD age 22 ± 3.9 years, weight 76.11 ± 13.48 kg, and height 178.32 ± 12.32 cm) who underwent a previous unilateral ACLR using a patellar tendon autograft. Magnetic resonance images from both extremities were acquired at 6 and 12 months post-ACLR. Voxel by voxel T1ρ relaxation times were calculated using a 5-image sequence. The medial and lateral regions of the femoral trochlea and patellar articular cartilage were manually segmented on both extremities. Separate extremity (ACLR and contralateral extremity) by time (6 months and 12 months) analysis of variance tests were performed for each region (P < 0.05).
RESULTS: For the medial patella and lateral trochlea, T1ρ relaxation times increased in both extremities between 6 and 12 months post-ACLR (medial patella P = 0.012; lateral trochlea P = 0.043). For the lateral patella, T1ρ relaxation times were significantly greater on the contralateral extremity compared to the ACLR extremity (P = 0.001). The T1ρ relaxation times of the medial trochlea on the ACLR extremity were significantly greater at 6 (P = 0.005) and 12 months (P < 0.001) compared to the contralateral extremity. T1ρ relaxation times of the medial trochlea significantly increased from 6 to 12 months on the ACLR extremity (P = 0.003).
CONCLUSION: Changes in T1ρ relaxation times occur within the first 12 months following ACLR in specific regions of the patellofemoral joint on the ACLR and contralateral extremity."
pub.1139658799,ur.011766334373.20,UNF,"Ghosh, Anirban",Mathematical Sciences,Sparse hop spanners for unit disk graphs,"A unit disk graph G on a given set P of points in the plane is a geometric graph where an edge exists between two points p , q ∈ P if and only if | p q | ≤ 1 . A spanning subgraph G ′ of G is a k-hop spanner if and only if for every edge p q ∈ G , there is a path between p , q in G ′ with at most k edges. We obtain the following results for unit disk graphs in the plane. (i) Every n-vertex unit disk graph has a 5-hop spanner with at most 5.5n edges. We analyze the family of spanners constructed by Biniaz (2020) and improve the upper bound on the number of edges from 9n to 5.5n. (ii) Using a new construction, we show that every n-vertex unit disk graph has a 3-hop spanner with at most 11n edges. (iii) Every n-vertex unit disk graph has a 2-hop spanner with O ( n log ⁡ n ) edges. This is the first nontrivial construction of 2-hop spanners. (iv) For every sufficiently large positive integer n, there exists a set P of n points on a circle, such that every plane hop spanner on P has hop stretch factor at least 4. Previously, no lower bound greater than 2 was known. (v) For every finite point set on a circle, there exists a plane (i.e., crossing-free) 4-hop spanner. As such, this provides a tight bound for points on a circle. (vi) The maximum degree of k-hop spanners cannot be bounded from above by a function of k for any positive integer k."
pub.1143170828,ur.012303706555.15,UNF,"Kale, Rahul W.",Information and Computing Sciences,Agility and Resilience in Information Systems Research,"<p>This research analyzes how the concepts of agility and resilience are treated in IS literature. While agility has been an object of study in IS research for many decades, resilience is a fairly new topic. Both are gaining strategic importance in a firm’s sustainability and growth, especially given the remarkable changes in the landscape that the firm operates in. It is thus important to understand what agility and resilience mean in IS research. Our paper is a first attempt to study IS literature and provide a thematic analysis of facets of each concept. In doing so, we identify aspects that are common to both agility and resilience and those that are unique to each. The results of this study can be used for an empirical examination of the two constructs and a validation of how they can be measured in firms. IS researchers and industrial practitioners can benefit from a deeper understanding of agility and resilience.</p>"
pub.1143170828,ur.010747712675.93,UNF,"Zhang, Justin Zuopeng",Information and Computing Sciences,Agility and Resilience in Information Systems Research,"<p>This research analyzes how the concepts of agility and resilience are treated in IS literature. While agility has been an object of study in IS research for many decades, resilience is a fairly new topic. Both are gaining strategic importance in a firm’s sustainability and growth, especially given the remarkable changes in the landscape that the firm operates in. It is thus important to understand what agility and resilience mean in IS research. Our paper is a first attempt to study IS literature and provide a thematic analysis of facets of each concept. In doing so, we identify aspects that are common to both agility and resilience and those that are unique to each. The results of this study can be used for an empirical examination of the two constructs and a validation of how they can be measured in firms. IS researchers and industrial practitioners can benefit from a deeper understanding of agility and resilience.</p>"
pub.1143170828,ur.011416214620.82,UNF,"Goel, Lakshmi",Information and Computing Sciences,Agility and Resilience in Information Systems Research,"<p>This research analyzes how the concepts of agility and resilience are treated in IS literature. While agility has been an object of study in IS research for many decades, resilience is a fairly new topic. Both are gaining strategic importance in a firm’s sustainability and growth, especially given the remarkable changes in the landscape that the firm operates in. It is thus important to understand what agility and resilience mean in IS research. Our paper is a first attempt to study IS literature and provide a thematic analysis of facets of each concept. In doing so, we identify aspects that are common to both agility and resilience and those that are unique to each. The results of this study can be used for an empirical examination of the two constructs and a validation of how they can be measured in firms. IS researchers and industrial practitioners can benefit from a deeper understanding of agility and resilience.</p>"
pub.1143463753,ur.015114235656.26,UNF,"Franco, Jose A.",Mathematical Sciences,Geodesic in-betweenness for means of several matrices,"A matrix mean σ is said to satisfy the in-betweenness property with respect to the metric d if for any pair of positive definite matrices A and B, d ( A , A σ B ) ≤ d ( A , B ) . In this article, we introduce the geodesic in-betweenness property for k-tuples of positive definite matrices with respect to any metric. Moreover, we show that in spaces of non-positive curvature, geodesic in-betweenness implies in-betweenness in the case of two matrices. We then show some examples of metrics and means for which this property is satisfied."
pub.1143463753,ur.013761230703.59,UNF,"Dumitru, Raluca",Mathematical Sciences,Geodesic in-betweenness for means of several matrices,"A matrix mean σ is said to satisfy the in-betweenness property with respect to the metric d if for any pair of positive definite matrices A and B, d ( A , A σ B ) ≤ d ( A , B ) . In this article, we introduce the geodesic in-betweenness property for k-tuples of positive definite matrices with respect to any metric. Moreover, we show that in spaces of non-positive curvature, geodesic in-betweenness implies in-betweenness in the case of two matrices. We then show some examples of metrics and means for which this property is satisfied."
pub.1143686848,ur.01361405744.81,UNF,"Talwar, Devki N.",Physical Sciences,Comparative study of interfacial strain dependent phonon localization in the beryllium-zinc chalcogenide superlattices,"A comprehensive study is reported for the novel (BeX)m/(ZnX)n (X = S, Se and Te) superlattices (SLs) to assess their acoustic and optical phonon characteristics. The use of an elastic continuum model has offered implicit equations for assessing folded acoustic modes (FAMs) and their splitting at the center and at the edge of mini-Brillouin zone. In (BeTe)m/(ZnSe)n SLs grown with Zn–Te interfaces, the Raman spectroscopy measurements revealed well resolved first order doublet and frequency shifts which compared favorably well with the simulated results. For the graded (BeX)10-Δ/(Be0.5Zn0.5X)Δ/(ZnX)10-Δ/(Be0.5Zn0.5X)Δ SLs, we have adopted a modified linear-chain model by meticulously integrating the effects of alloying and interfacial layer thickness Δ to study phonon dispersions ( ω j ( q → S L )) and Raman intensity profiles. By changing Δ from 1 to 3 monolayers, our study has distinctly revealed (a) a dramatic increase in the Raman scattering intensity of ZnX quasi-confined optical modes (Q-COMs) with slight upward shifts in frequencies, (b) an insignificant change in Raman intensity lines of BeX confined optical modes (COMs) with appreciable downward shifts (up to ∼ - 113 cm−1) in frequencies, and (c) trivial modifications in the FAMs. These atypical effects noticed in the optical modes are attributed to the localization of atomic displacements at the BeX-ZnX interfacial region. The variations of phonon mode frequencies and enhancement of Raman lines for the ZnX Q-COMs can be used as vital tools for establishing interfacial structures in graded SLs of technological importance."
pub.1143687952,ur.01175343220.44,UNF,"Laali, Kenneth K.",Chemical Sciences,Janusene as a silver ion scavenger: insights from computation,"The ability of Janusene to interact simultaneously with multiple silver ions.
 Janusene is a [3,3] ortho -cyclophane that possesses four aromatic moieties of which two are held together in a quasi-parallel or in a cleft-shaped arrangement. The multiple coordination sites available in janusene were tested by bonding of Ag + ions in different positions of the janusene structure, leading to 35 systems. Our results evidence that janusene is able to stabilize up to five Ag + ions simultaneously. Due to the symmetric coordination positions, several isomers have been obtained with systems containing up to 4 Ag + ions. Janusene–Ag + interactions, for all systems, are partially covalent in nature, mainly stabilized by Δ E orb and Δ E ele interactions. MEP isosurfaces reveal that the different Ag + coordination modifies the janusene electron density, thus modulating the reactivity of its rings. Janusene is also able to stabilize, by ≈−130 kcal mol −1 , a [Ag A ⋯Ag B ] 2+ interaction at short distances, in the cleft between facial rings. Interestingly, these interactions are enhanced by coordination of other Ag + ions, increasing the lateral rings’ orbital interactions to the stabilization of the [Ag A ⋯Ag B ] 2+ interaction. This study reveals the presence of some unusual and previously unexplored features of janusene's electronic structure. "
pub.1143715039,ur.010207033721.05,UNF,"Heng, Fei",Biomedical and Clinical Sciences,Semiparametric additive time‐varying coefficients model for longitudinal data with censored time origin,"Statistical analysis of longitudinal data often involves modeling treatment effects on clinically relevant longitudinal biomarkers since an initial event (the time origin). In some studies including preventive HIV vaccine efficacy trials, some participants have biomarkers measured starting at the time origin, whereas others have biomarkers measured starting later with the time origin unknown. The semiparametric additive time-varying coefficient model is investigated where the effects of some covariates vary nonparametrically with time while the effects of others remain constant. Weighted profile least squares estimators coupled with kernel smoothing are developed. The method uses the expectation maximization approach to deal with the censored time origin. The Kaplan-Meier estimator and other failure time regression models such as the Cox model can be utilized to estimate the distribution and the conditional distribution of left censored event time related to the censored time origin. Asymptotic properties of the parametric and nonparametric estimators and consistent asymptotic variance estimators are derived. A two-stage estimation procedure for choosing weight is proposed to improve estimation efficiency. Numerical simulations are conducted to examine finite sample properties of the proposed estimators. The simulation results show that the theory and methods work well. The efficiency gain of the two-stage estimation procedure depends on the distribution of the longitudinal error processes. The method is applied to analyze data from the Merck 023/HVTN 502 Step HIV vaccine study."
